+-----------------------+-----------------------------------------------------------------------------------------------------------------------------------+
|   Tristan Al-Haddad   |                                                             Lecturer                                                              |
|    Marco Ancheita     |                                                             Lecturer                                                              |
|   Libero  Andreotti   |                                                        Professor Emeritus                                                         |
|   Daniel Baerlecken   |                                                        Associate Professor                                                        |
|      Sonit Bafna      |                                           Associate Professor; Director, Ph.D. Program                                            |
|     Alan  Balfour     |                                                        Professor Emeritus                                                         |
|      Brian Bell       |                                                     Professor of the Practice                                                     |
|     Joanna Bidani     |                                                             Lecturer                                                              |
|    Roberto Bucheli    |                                                             Lecturer                                                              |
|    Yousef Bushehri    |                                                    Instructor; Ph.D. Candidate                                                    |
|     James W. Case     |                                                             Lecturer                                                              |
|    Christian Coles    |                                                             Lecturer                                                              |
|      Mark Cottle      |                                           Associate Professor; Director of Exhibitions                                            |
|     Robert Craig      |                                                        Professor Emeritus                                                         |
|    James P. Cramer    |                                                             Lecturer                                                              |
|   Richard Dagenhart   |                                                   Associate Professor Emeritus                                                    |
|     Elisa Dainese     |                                                        Assistant Professor                                                        |
| Harris Dimitropoulos  |                                                        Associate Professor                                                        |
|   Gustavo Do Amaral   |                                                    Instructor; Ph.D. Candidate                                                    |
| Hayri Dortdivanlioglu |                                                    Instructor; Ph.D. Candidate                                                    |
|   Elizabeth Dowling   |                                                         Professor Emerita                                                         |
|  Jennifer R. DuBose   |                           Associate Director of the SimTigrate Design Lab, Principal Research Associate                           |
|      Lane Duncan      |                                                          Senior Lecturer                                                          |
|  Ellen Dunham-Jones   |                                             Professor; Director, Urban Design Program                                             |
| Athanassios Economou  |                                            Professor; Director, Shape Computation Lab                                             |
|     Dagmar Epsten     |                                                             Lecturer                                                              |
|    Michael Gamble     |                                   Associate Professor; Director, Master of Architecture Program                                   |
|    Russell Gentry     |                                                  Director, Digital Building Lab                                                   |
|                       |                                       Director, Master of Science in Architecture Program                                         |
|                       |                                                        Associate Professor                                                        |
|     Mario Gooden      |                                             2021 Portman Prize Studio Visiting Critic                                             |
| Tzu-Chieh Kurt  Hong  |                                                    Instructor; Ph.D. Candidate                                                    |
|     Herman Howard     |                                                             Lecturer                                                              |
|    Jennifer Hsiaw     |                                                             Lecturer                                                              |
|      Joel Jassu       |                                                             Lecturer                                                              |
|  George B. Johnston   |                                                             Professor                                                             |
|      Ruth Kanfer      |                                       Professor, School of Psychology, Courtesy Appointment                                       |
|     Keith Kaseman     |                                                        Assistant Professor                                                        |
|      Sabir Khan       |                         Associate Professor, Director of the Architecture International Education Program                         |
|       Julie Kim       |                   Associate Professor; Associate Chair, School of Architecture; Director, Undergraduate Program                   |
|      Lena Klein       |                                                             Lecturer                                                              |
|    W. Jude LeBlanc    |                                                        Associate Professor                                                        |
|     Scott Marble      |                                   William H. Harrison Chair, School of Architecture; Professor                                    |
|   Marisabel Marratt   |                                                             Lecturer                                                              |
|    Tyrone Marshall    |                                                             Lecturer                                                              |
|   Geoffrey Maulion    |                                                             Lecturer                                                              |
|    Annie McCarthy     |                                                             Lecturer                                                              |
|    Megan McDonough    |                                                             Lecturer                                                              |
|    Michael Murphy     |                                Thomas W. Ventulett III Distinguished Chair in Architectural Design                                |
|  Vernelle A. A. Noel  |                                                        Assistant Professor                                                        |
|      James Park       |                                                    Instructor; Ph.D. Candidate                                                    |
|  Walter Ennis Parker  |                                                       Professor of Practice                                                       |
|  Frederick Pearsall   |                                                          Senior Lecturer                                                          |
|     John Peponis      |                                                             Professor                                                             |
|    Taylor  Pitelka    |                                                             Lecturer                                                              |
|     Heather Potts     |                                                             Lecturer                                                              |
|      Tarek Rakha      |                                   Assistant Professor, Director, High Performance Building Lab                                    |
|      Roya Rezaee      |                                                             Lecturer                                                              |
| Michelle A. Rinehart  |                                                  Interim Dean, College of Design                                                  |
|      Ryan Roark       |                                             Ventulett NEXT Generation Visiting Fellow                                             |
|      Stuart Romm      |                                                     Professor of the Practice                                                     |
|    Charles Rudolph    |                              Associate Professor; Director, School of Architecture Practicum Program                              |
|     Leslie Sharp      |                                                         Dean of Libraries                                                         |
|    Lars Spuybroek     |                                                             Professor                                                             |
|   Danielle Willkens   |                                                        Assistant Professor                                                        |
|   Perry P. J.  Yang   |                                           Associate Professor; Director, Eco Urban Lab                                            |
|     Jeannette Yen     | Professor, School of Biological Sciences; Director, Center for Biologically Inspired Design at Georgia Tech; Courtesy Appointment |
|      David Yocum      |                                                       Professor of Practice                                                       |
|     Craig Zimring     |                                            Professor; Director, SimTigrate Design Lab                                             |
+-----------------------+-----------------------------------------------------------------------------------------------------------------------------------+
