name,title,home_unit
Rodrigo Borela Valente,Lecturer,Division of Computing Instruction
Gerandy Brito,Lecturer,Division of Computing Instruction
"Martin Davis, Jr.",Senior Academic Professional,Division of Computing Instruction
Frederic Faulkner,Lecturer,Division of Computing Instruction
Amanda Girard,Academic Professional,Division of Computing Instruction
Ronnie Howard,Lecturer,Division of Computing Instruction
Mary Hudachek-Buswell,Lecturer,Division of Computing Instruction
Richard Landry,Lecturer,Division of Computing Instruction
Charles Lively,Lecturer,Division of Computing Instruction
Melinda McDaniel,Lecturer,Division of Computing Instruction
Mark Moss,Lecturer,Division of Computing Instruction
Aibek Musaev,Lecturer,Division of Computing Instruction
Olufisayo Omojokun,Director of the Division of Computing Instruction…,Division of Computing Instruction
Mahdi Roozbahani,Lecturer,Division of Computing Instruction
Caleb Southern,Lecturer,Division of Computing Instruction
Cedric Stallworth,"Assistant Dean for Outreach, Enrollment and…",Division of Computing Instruction
Jay Summet,OMSCS Associate Director for Academic Affairs and…,Division of Computing Instruction
Suzy Watson-Phillips,Lecturer,Division of Computing Instruction
David White,"Executive Director of OMSCS, Senior Academic…",Division of Computing Instruction
Srinivas Aluru,"Executive Director, Institute for Data…",School of Computational Science and Engineering
Alberto Apostolico (1948-2015),Professor: In Memoriam,School of Computational Science and Engineering
Mark Borodovsky,"Director, Center for Bioinformatics and…",School of Computational Science and Engineering
Oliver Brdiczka,Adjunct Professor in CSE,School of Computational Science and Engineering
Spencer Bryngelson,Assistant Professor,School of Computational Science and Engineering
Vince Calhoun,Adjunct Professor,School of Computational Science and Engineering
Ümit V. Çatalyürek,"Professor, Associate Chair",School of Computational Science and Engineering
Duen Horng (Polo) Chau,Associate Professor,School of Computational Science and Engineering
Sudheer Chava,Adjunct Professor,School of Computational Science and Engineering
Elizabeth Cherry,"Associate Professor, Associate Chair for Academic…",School of Computational Science and Engineering
Edmond Chow,"Associate Professor, Associate Chair",School of Computational Science and Engineering
Bistra Dilkina,Adjunct Professor in CSE,School of Computational Science and Engineering
Jon Duke,"Principal Research Scientist, Joint with GTRI",School of Computational Science and Engineering
Richard Fujimoto,Regents' Professor Emeritus,School of Computational Science and Engineering
Richard Fujimoto,Regents' Professor Emeritus,School of Computational Science and Engineering
Daniel Gibney ,Postdoc,School of Computational Science and Engineering
Ashok Goel,Professor,School of Computational Science and Engineering
Oded Green,Adjunct Appointment in CSE,School of Computational Science and Engineering
David Haglin,Adjunct Professor,School of Computational Science and Engineering
Christine Heitsch,Adjunct Appointment ,School of Computational Science and Engineering
Felix Herrmann,EAS/ECE Joint Appointment Professor,School of Computational Science and Engineering
Nathan Hodas,Adjunct Associate Professor,School of Computational Science and Engineering
Nabil Imam,Assistant Professor,School of Computational Science and Engineering
Tobin Isaac,Assistant Professor,School of Computational Science and Engineering
Surya Kalidindi,"Regents' Professor, Joint with the George W…",School of Computational Science and Engineering
Srijan Kumar,Assistant Professor,School of Computational Science and Engineering
Pablo Laguna,Adjunct Professor,School of Computational Science and Engineering
Fang (Cherry) Liu,Adjunct Associate Professor,School of Computational Science and Engineering
Yunan Luo,Assistant Professor,School of Computational Science and Engineering
Haesun Park,"Regents' Professor and Chair, School of…",School of Computational Science and Engineering
Kalyan Perumalla,Adjunct Professor,School of Computational Science and Engineering
William Powell,Research Technologist I,School of Computational Science and Engineering
B. Aditya Prakash,Associate Professor,School of Computational Science and Engineering
Peng Qiu,Adjunct Associate Professor,School of Computational Science and Engineering
Rampi Ramprasad,Adjunct Professor,School of Computational Science and Engineering
Rampi Ramprasad,Adjunct Professor,School of Computational Science and Engineering
Mahdi Roozbahani,Lecturer,School of Computational Science and Engineering
Florian Schäfer,Assistant Professor,School of Computational Science and Engineering
C. David Sherrill,"Associate Director, Institute for Data…",School of Computational Science and Engineering
Deirdre Shoemaker,Adjunct Professor,School of Computational Science and Engineering
Jimeng Sun,Adjunct Associate Professor,School of Computational Science and Engineering
Jeffrey Valdez,Research Scientist II,School of Computational Science and Engineering
Richard Vuduc,Professor,School of Computational Science and Engineering
Marilyn Wolf,Adjunct Professor,School of Computational Science and Engineering
Anqi Wu,Assistant Professor,School of Computational Science and Engineering
Xin Xing,Post-doctoral Researcher,School of Computational Science and Engineering
Jeffrey Young,Senior Research Scientist,School of Computational Science and Engineering
Hongyuan Zha,Adjunct Professor,School of Computational Science and Engineering
Chao Zhang,Assistant Professor,School of Computational Science and Engineering
Xiuwei Zhang,Assistant Professor,School of Computational Science and Engineering
Tuo Zhao,"Adjunct Professor, ISYE",School of Computational Science and Engineering
Jacob Abernethy,Associate Professor,School of Computer Science
Mustaque Ahamad,Professor; Associate Director – Educational…,School of Computer Science
Mostafa Ammar,Regents' Professor,School of Computer Science
Joy Arulraj,Assistant Professor ,School of Computer Science
Ramin Ayanzadeh ,Postdoctoral Fellow,School of Computer Science
Ketan Bhardwaj,Research Scientist II,School of Computer Science
Douglas Blough,Adjunct Professor,School of Computer Science
Gregory Bodwin,Post-Doc,School of Computer Science
Alexandra Boldyreva," Professor, Associate Chair for Graduate Studies",School of Computer Science
Xu Chu,Assistant Professor,School of Computer Science
Pak Ho (Simon) Chung,Research Scientist I,School of Computer Science
Russell Clark,Senior Research Scientist,School of Computer Science
Thomas Conte,"Associate Dean for Research, Professor, Joint…",School of Computer Science
Rachel Cummings,Adjunct Assistant Professor,School of Computer Science
Alexandros Daglis,Assistant Professor,School of Computer Science
Alberto Dainotti ,Associate Professor,School of Computer Science
Richard DeMillo, School of Cybersecurity and Privacy Interim…,School of Computer Science
David Devecsery,Assistant Professor,School of Computer Science
Ashutosh Dhekne,Assistant Professor,School of Computer Science
Constantine Dovrolis,Professor,School of Computer Science
Greg Eisenhauer,Senior Research Scientist,School of Computer Science
Merrick Furst,Distinguished Professor,School of Computer Science
Zvi Galil,"Former John P. Imlay, Jr. Dean of Computing,…",School of Computer Science
Ada Gavrilovska,Associate Professor,School of Computer Science
Daniel Genkin ,Associate Professor,School of Computer Science
Seymour Goodman,"Regents' Professor, Joint with the Sam Nunn…",School of Computer Science
Max Grossman,Sr. Research Scientist,School of Computer Science
Swati Gupta,Adjunct Assistant Professor ,School of Computer Science
Akihiro Hayashi,Senior Research Scientist,School of Computer Science
ChulWon Kang,Research Scientist I,School of Computer Science
Hyesoon Kim,Professor,School of Computer Science
Taesoo Kim,"Associate Professor and Director, GTS3",School of Computer Science
